,Geography,Gender,Balance,CreditScore,Age,NumOfProducts,EstimatedSalary,Exited
1492,Germany,Female,102365.49,6.222576268,3.761200116,0,194690.77,1
1493,Spain,Male,0,6.599870499,3.912023005,0,166677.35,1
1494,Spain,Female,0,6.522092798,3.401197382,0,160131.58,0
1495,France,Male,0,6.192362489,3.951243719,0.693147181,123622,0
1496,Germany,Male,101868.51,6.529418838,4.043051268,0,113483.96,0
1497,Spain,Male,0,6.343880434,3.63758616,0.693147181,79618.79,0
1498,France,Male,112392.45,6.447305863,3.555348061,0.693147181,24472.23,0
1499,Germany,Female,106570.34,6.388561406,3.218875825,0.693147181,177025.79,0
1500,France,Female,0,6.192362489,3.33220451,0,103349.74,0
1501,France,Male,81947.76,6.445719819,3.912023005,0,63606.22,1
1502,France,Female,144162.3,6.49375384,3.433987204,0.693147181,14490.79,0
1503,Germany,Male,86350.87,6.679599186,3.663561646,0.693147181,105080.53,0
1504,France,Male,158623.14,6.56526497,3.850147602,0,83499.89,1
1505,France,Male,0,6.608000625,3.465735903,0.693147181,143598.7,0
1506,Germany,Male,132403.56,6.406879986,3.871201011,0,36091.91,1
1507,France,Male,0,6.616065185,3.295836866,0.693147181,13007.89,0
1508,Germany,Female,134985.66,6.308098442,3.761200116,0,6101.41,0
1509,France,Male,0,6.356107661,3.583518938,0.693147181,48314,0
1510,France,Male,103772.45,6.269096284,3.610917913,0,197111.99,0
1511,France,Male,133040.32,6.282266747,3.496507561,0,110299.78,0
1512,Spain,Female,0,6.354370041,3.610917913,0.693147181,30114.32,0
1513,France,Male,0,6.486160789,3.663561646,0.693147181,98894.64,0
1514,France,Male,0,6.192362489,3.737669618,0.693147181,49826.68,0
1515,Spain,Male,71460.67,6.289715571,3.63758616,0.693147181,10074.05,0
1516,Spain,Male,133214.13,6.69950034,3.663561646,0,20769.88,0
1517,France,Female,96558.66,6.470799504,3.610917913,0,163427.18,0
1518,France,Male,93806.31,6.612041035,3.988984047,0.693147181,140068.77,0
1519,Spain,Female,0,6.56526497,3.583518938,0.693147181,83206.19,0
1520,France,Female,124043.8,6.298949247,4.094344562,0,111402.97,1
1521,Germany,Male,131694.97,6.583409222,3.951243719,0,92873.5,1
1522,Spain,Female,0,6.228511004,3.36729583,0.693147181,94780.9,0
1523,France,Female,106266.8,6.668228248,3.555348061,0,16607.15,0
1524,Spain,Male,0,6.393590754,3.713572067,0.693147181,161954.43,0
1525,France,Male,0,6.679599186,3.931825633,0.693147181,194733.28,0
1526,Spain,Female,139840.36,6.343880434,3.713572067,0,163524.7,0
1527,France,Male,0,6.56667243,3.526360525,0.693147181,48260.19,0
1528,Germany,Male,124098.54,6.49375384,3.555348061,0,86678.48,0
1529,France,Male,145807.59,6.192362489,3.465735903,0,3064.65,0
1530,Spain,Male,0,6.359573869,3.218875825,0.693147181,112124.98,0
1531,France,Female,107508.93,6.415096959,3.258096538,0.693147181,120801.65,0
1532,France,Female,0,6.396929655,3.33220451,0.693147181,52193.23,0
1533,Germany,Female,145980.23,6.49375384,3.465735903,0,56636.28,0
1534,France,Female,212778.2,6.69950034,3.610917913,0,69372.88,0
1535,Germany,Female,152522.47,6.350885717,3.850147602,0,164038.07,1
1536,Spain,Female,168964.77,6.638567789,3.496507561,0,118982.51,0
1537,France,Female,0,6.69950034,3.526360525,0.693147181,27472.07,0
1538,France,Female,0,6.69950034,3.33220451,0,36754.13,0
1539,Spain,Female,98266.3,6.408528791,3.583518938,0,46416.36,0
1540,France,Male,113000.92,6.324358962,3.63758616,0,152872.39,0
1541,Germany,Male,137060.88,6.272877007,3.218875825,0.693147181,165227.23,0
1542,Germany,Male,112146.12,6.483107351,3.610917913,0,75927.35,0
1543,France,Female,129307.32,6.272877007,3.496507561,0,172930.28,0
1544,Spain,Male,163975.09,6.486160789,4.094344562,0,36108.5,0
1545,Spain,Male,0,6.253828812,3.761200116,0.693147181,36202.74,0
1546,Germany,Female,158414.85,6.400257445,3.737669618,0,131886.46,0
1547,Germany,Female,92072.68,6.552507887,3.871201011,0,133992.36,0
1548,Spain,Female,88243.29,6.481577129,3.401197382,0.693147181,96658.26,0
1549,Spain,Male,0,6.504288174,3.218875825,0.693147181,135112.09,0
1550,France,Male,59486.31,6.480044562,3.871201011,0,163944.18,1
1551,Spain,Female,0,6.459904454,3.988984047,0.693147181,53843.71,0
1552,Spain,Female,0,6.593044534,3.951243719,0.693147181,122398.84,0
1553,France,Male,0,6.65929392,3.526360525,0,64804.04,0
1554,France,Female,119278.01,6.383506635,3.63758616,0.693147181,19370.73,0
1555,France,Male,158741.43,6.442540166,3.526360525,0.693147181,126192.54,0
1556,France,Female,140596.95,6.489204931,3.688879454,0,135459.02,1
1557,Spain,Female,0,6.69950034,3.36729583,0.693147181,94815.04,0
1558,Germany,Male,90432.92,6.244166901,3.610917913,0,188366.04,1
1559,France,Female,104783.81,6.34738921,3.555348061,0.693147181,178512.52,0
1560,Germany,Male,77992.97,6.633318433,3.737669618,0.693147181,97906.38,0
1561,Germany,Female,110822.9,6.579251212,3.761200116,0,72861.94,0
1562,Germany,Male,119624.6,6.448889394,3.737669618,0.693147181,195978.86,0
1563,Germany,Male,109052.59,6.542471961,3.433987204,0.693147181,19448.93,1
1564,Spain,Female,139129.44,6.326149473,3.688879454,0,32635.54,0
1565,Germany,Female,152324.66,6.650279049,3.737669618,0.693147181,171733.22,0
1566,France,Male,0,6.364750757,3.63758616,0.693147181,46176.22,0
1567,Germany,Female,127480.58,6.261491684,3.610917913,0.693147181,179634.69,0
1568,France,Male,115029.4,6.56948142,3.970291914,0,191521.32,1
1569,France,Male,114005.78,6.516193076,3.688879454,0,67998.45,0
1570,Germany,Female,116646.76,6.478509642,3.737669618,0,44731.8,1
1571,Spain,Female,110864.38,6.575075841,3.891820298,0.693147181,124532.9,1
1572,France,Male,156267.59,6.386879319,3.218875825,0,160968.44,0
1573,France,Female,109528.28,6.573680167,3.784189634,0,27341.63,1
1574,France,Female,102482.76,6.504288174,3.555348061,0,53994.64,0
1575,Germany,Male,115563.71,6.519147288,3.218875825,0,91633.53,0
1576,France,Male,0,6.300785795,3.218875825,0.693147181,189613.12,0
1577,France,Female,95624.36,6.418364936,3.688879454,0.693147181,60706.33,0
1578,Spain,Female,0,6.532334292,3.218875825,0.693147181,154767.34,0
1579,France,Male,160376.61,6.572282543,3.33220451,0,196853.11,0
1580,Germany,Male,37702.79,6.426488457,3.713572067,0,195775.48,0
1581,France,Female,118273.83,6.580639137,3.555348061,0,3086.89,0
1582,Germany,Female,131082.17,6.192362489,3.526360525,0.693147181,70618,0
1583,France,Male,94456,6.536691598,3.63758616,0.693147181,55034.02,0
1584,France,Female,0,6.563855527,3.761200116,0.693147181,168035.62,1
1585,Spain,Female,0,6.508769137,3.737669618,0.693147181,128449.33,0
1586,France,Male,93791.38,6.28785856,3.496507561,0,199249.29,0
1587,France,Female,0,6.599870499,3.496507561,0.693147181,149474.69,0
1588,France,Female,0,6.383506635,3.610917913,0.693147181,126726.33,0
1589,France,Male,155973.13,6.616065185,4.094344562,0,147554.26,0
1590,Germany,Male,89409.95,6.514712691,3.583518938,0,149399.7,0
1591,Spain,Female,97854.37,6.448889394,3.663561646,0.693147181,93536.38,0
1592,France,Male,0,6.431331082,3.663561646,0.693147181,58883.91,0
1593,Spain,Male,60280.62,6.255750042,3.36729583,0,154271.41,0
1594,Spain,Male,135216.8,6.381816017,3.583518938,0,122022.89,0
1595,Germany,Female,124923.35,6.559615237,3.33220451,0.693147181,50299.14,0
1596,France,Male,0,6.517671273,3.63758616,0.693147181,187800.63,0
1597,Germany,Male,188614.07,6.64509097,3.295836866,0,171344.09,0
1598,France,Male,62321.62,6.647688374,3.465735903,0,40920.59,0
1599,Germany,Female,120782.7,6.398594935,3.871201011,0,63940.68,1
1600,France,Female,115961.58,6.507277712,3.737669618,0.693147181,29483.87,0
1601,France,Male,115062.61,6.248042875,3.33220451,0,179056.23,0
1602,France,Female,160602.25,6.69950034,3.891820298,0.693147181,129273.94,0
1603,France,Female,108825.34,6.34738921,3.737669618,0.693147181,55558.51,1
1604,Germany,Female,166287.85,6.356107661,3.583518938,0,23305.85,0
1605,France,Female,152663.77,6.576469569,3.433987204,0,17128.64,0
1606,Germany,Female,80844.69,6.455198563,3.433987204,0.693147181,74641.9,0
1607,Germany,Female,97001.36,6.338594078,3.688879454,0.693147181,154486.01,0
1608,France,Male,0,6.56667243,4.094344562,0.693147181,3185.67,0
1609,France,Female,122524.61,6.352629396,3.663561646,0.693147181,88463.63,0
1610,France,Female,132292.63,6.428105273,3.555348061,0,65682.93,0
1611,France,Female,0,6.376726948,3.218875825,0.693147181,140586.08,0
1612,Germany,Female,91502.99,6.633318433,3.891820298,0,117232.9,1
1613,France,Male,0,6.499787041,3.951243719,0,116137.01,1
1614,Germany,Male,59385.98,6.605297921,3.36729583,0.693147181,105533.96,0
1615,France,Male,0,6.463029457,4.094344562,0.693147181,81514.06,0
1616,Germany,Female,97956.5,6.529418838,3.218875825,0,164966.27,0
1617,France,Female,0,6.386879319,3.891820298,0.693147181,23631.55,0
1618,Spain,Female,0,6.32256524,3.688879454,0.693147181,105433.53,0
1619,France,Male,141223.68,6.546785411,3.295836866,0.693147181,90591.15,0
1620,France,Male,151762.74,6.486160789,3.218875825,0,127014.32,0
1621,Germany,Male,141749.74,6.568077911,3.761200116,0.693147181,90905.26,0
1622,Spain,Male,75075.14,6.535241271,3.63758616,0,8651.92,1
1623,France,Female,165686.11,6.546785411,3.218875825,0.693147181,15467.98,0
1624,France,Male,0,6.378426184,3.63758616,0,79915.28,0
1625,Spain,Female,0,6.263398263,3.218875825,0.693147181,69361.95,0
1626,France,Male,0,6.522092798,3.784189634,0.693147181,86935.08,0
1627,France,Female,0,6.424869024,3.33220451,0.693147181,7597.83,1
1628,France,Male,92961.61,6.522092798,3.465735903,0,116957.6,0
1629,Spain,Female,0,6.495265556,3.401197382,0.693147181,157884.83,0
1630,Germany,Male,130812.91,6.601230119,3.828641396,0,77981.54,1
1631,Germany,Male,107174.58,6.487684018,4.043051268,0,126369.55,1
1632,Spain,Male,152677.48,6.192362489,3.988984047,0,191973.49,1
1633,France,Male,132005.77,6.424869024,3.401197382,0,142940.39,0
1634,France,Male,0,6.33150185,3.555348061,0,48869.67,0
1635,Spain,Female,0,6.558197803,3.218875825,0.693147181,73131.73,0
1636,France,Female,127305.5,6.246106765,3.496507561,0,120037.36,0
1637,France,Female,0,6.350885717,3.610917913,0.693147181,193995.37,0
1638,Spain,Female,0,6.28785856,3.433987204,0.693147181,179453.66,0
1639,France,Male,0,6.549650742,3.663561646,0,80963.92,0
1640,Germany,Male,170291.22,6.222576268,3.465735903,0.693147181,15658.99,0
1641,Spain,Male,102562.23,6.368187186,3.850147602,0,92708.1,0
1642,Spain,Male,111061.01,6.568077911,3.970291914,0.693147181,26542.17,0
1643,Spain,Male,0,6.439350371,4.094344562,0,65010.74,0
1644,France,Female,124379.14,6.447305863,3.526360525,0,106892.91,0
1645,France,Female,0,6.49677499,3.610917913,0,185210.63,0
1646,Germany,Female,57745.76,6.226536669,3.713572067,0,4035.46,0
1647,Germany,Female,129293.74,6.345636361,3.912023005,0,177805.44,1
1648,France,Female,0,6.555356892,3.80666249,0.693147181,68831.72,0
1649,Germany,Female,150777.1,6.548219103,3.688879454,0,114732.62,0
1650,Spain,Male,0,6.59441346,3.713572067,0.693147181,22299.27,0
1651,France,Male,0,6.43775165,3.526360525,0.693147181,197283.2,0
1652,Spain,Male,108632.48,6.452048954,3.433987204,0,179485.96,1
1653,France,Male,153861.1,6.423246964,4.077537444,0,17699.48,0
1654,France,Male,100374.58,6.214608098,4.025351691,0,118490.8,1
1655,France,Male,0,6.192362489,3.465735903,0.693147181,133292.94,0
1656,France,Female,61196.54,6.50578406,3.850147602,0,58170.24,0
1657,Germany,Male,116891.72,6.364750757,3.433987204,0,107137.3,0
1658,Germany,Female,133656.91,6.556778356,3.988984047,0.693147181,145071.33,1
1659,France,Male,92911.52,6.617402978,3.784189634,0,85495.24,0
1660,Spain,Female,119825.75,6.522092798,3.433987204,0.693147181,101139.3,0
1661,France,Female,111852.84,6.484635236,3.610917913,0.693147181,10511.13,0
1662,Germany,Male,106683.52,6.536691598,3.465735903,0.693147181,137916.49,0
1663,Germany,Male,139022.24,6.543911846,3.688879454,0,193383.13,0
1664,Germany,Female,148571.07,6.551080335,3.688879454,0,189826.96,1
1665,France,Male,0,6.650279049,3.951243719,0,144113.42,0
1666,France,Male,129776.72,6.618738984,3.737669618,0.693147181,143538.51,0
1667,France,Female,0,6.415096959,3.828641396,0,77677.14,1
1668,Spain,Female,0,6.406879986,3.828641396,0.693147181,183717.94,0
1669,France,Male,0,6.317164687,3.218875825,0,92180.62,0
1670,France,Female,0,6.340359304,3.610917913,0.693147181,28690.9,0
1671,Spain,Male,114739.92,6.326149473,3.218875825,0,85891.02,1
1672,Germany,Male,122545.65,6.386879319,3.713572067,0.693147181,42050.24,0
1673,France,Female,0,6.240275845,3.610917913,0.693147181,110142.34,0
1674,Germany,Female,131908.35,6.480044562,3.258096538,0,179269.79,0
1675,Germany,Female,105722.69,6.522092798,3.737669618,0,90558.24,1
1676,Spain,Male,0,6.66440902,3.496507561,0.693147181,162022.47,0
1677,Spain,Female,0,6.69950034,3.784189634,0.693147181,66926.83,1
1678,Spain,Female,0,6.66440902,3.688879454,0.693147181,108891.3,0
1679,France,Female,82767.42,6.345636361,3.218875825,0,71811.9,0
1680,France,Female,87842.98,6.568077911,3.737669618,0,92223.59,0
1681,Spain,Male,133261.13,6.558197803,3.663561646,0,78065.9,0
1682,Spain,Female,0,6.523562306,3.465735903,0.693147181,59679.9,0
1683,France,Male,97925.11,6.429719478,3.713572067,0,85000.32,0
1684,France,Male,0,6.56667243,3.951243719,0,159808.95,0
1685,France,Female,140453.91,6.418364936,3.218875825,0,129001.3,0
1686,Germany,Female,117356.19,6.418364936,3.218875825,0,113557.7,1
1687,Spain,Male,0,6.525029658,3.583518938,0.693147181,147758.51,0
1688,Spain,Male,137204.77,6.69950034,3.610917913,0,28865.59,0
1689,France,Female,0,6.398594935,3.713572067,0.693147181,160607.06,0
1690,Spain,Male,0,6.388561406,3.555348061,0,100015.79,1
1691,Spain,Male,54098.18,6.514712691,3.583518938,0.693147181,54478.52,0
1692,Spain,Male,0,6.381816017,3.433987204,0,141677.33,0
1693,France,Male,113758.48,6.400257445,3.218875825,0.693147181,84077.6,0
1694,Spain,Female,0,6.317164687,3.526360525,0,106981.03,0
1695,France,Male,118636.92,6.293419279,3.610917913,0,73551.44,0
1696,France,Male,0,6.226536669,3.526360525,0.693147181,115842.1,0
1697,Germany,Male,95488.82,6.69950034,3.784189634,0.693147181,107013.59,0
1698,France,Male,110829.52,6.52649486,3.401197382,0.693147181,24938.84,0
1699,Germany,Male,144244.59,6.192362489,3.931825633,0.693147181,51113.14,0
1700,Germany,Female,122021.92,6.54534966,3.433987204,0.693147181,33828.64,0
1701,France,Female,0,6.410174882,3.401197382,0.693147181,128875.86,0
1702,France,Male,0,6.674561392,3.912023005,0.693147181,194700.81,1
1703,Spain,Male,0,6.530877628,3.218875825,0.693147181,158974.45,0
1704,Germany,Male,85839.62,6.672032945,3.737669618,0,198182.73,0
1705,France,Female,96974.97,6.483107351,3.36729583,0,141404.07,0
1706,France,Male,148172.44,6.192362489,3.555348061,0,4175.68,0
1707,Spain,Male,0,6.577861358,3.63758616,0,126876.47,0
1708,France,Female,0,6.561030666,3.688879454,0.693147181,41052.82,0
1709,France,Female,0,6.549650742,3.891820298,0,105760.01,0
1710,Spain,Male,0,6.69950034,3.401197382,0.693147181,27937.12,0
1711,Spain,Male,134766.85,6.69950034,3.33220451,0,79355.87,0
1712,Germany,Male,123210.56,6.69950034,3.401197382,0.693147181,102180.27,0
1713,Spain,Male,139887.01,6.568077911,3.850147602,0,95719.73,0
1714,France,Male,149961.11,6.452048954,3.784189634,0,57121.51,0
1715,Germany,Male,152880.97,6.593044534,3.80666249,0,162478.11,0
1716,Germany,Male,108589.47,6.529418838,3.761200116,0.693147181,194808.51,0
1717,Spain,Male,0,6.695798917,3.496507561,0,124045.65,0
1718,Spain,Female,56674.48,6.561030666,3.555348061,0,17987.4,1
1719,Spain,Male,0,6.473890696,3.465735903,0,133653.38,0
1720,Spain,Female,0,6.633318433,4.043051268,0.693147181,25101.17,0
1721,Germany,Female,105663.56,6.690842277,3.496507561,0.693147181,33330.89,0
1722,France,Female,0,6.371611847,3.663561646,0.693147181,2401.26,0
1723,Spain,Female,100683.54,6.388561406,3.401197382,0,178361.04,0
1724,France,Male,0,6.445719819,3.737669618,0.693147181,162697.93,0
1725,Germany,Male,139541.58,6.440946541,3.36729583,0.693147181,80607.33,0
1726,Germany,Female,121801.72,6.447305863,3.610917913,0.693147181,23146.62,0
1727,Germany,Male,112281.7,6.65415252,3.63758616,0,89893.6,0
1728,Spain,Female,0,6.516193076,3.583518938,0.693147181,3173.31,0
1729,Spain,Female,93499.82,6.630683386,3.688879454,0.693147181,123218.81,0
1730,France,Male,132255.99,6.456769656,3.496507561,0.693147181,74588.41,0
1731,France,Male,0,6.69950034,3.218875825,0.693147181,31288.77,0
1732,Spain,Female,0,6.398594935,3.784189634,0.693147181,58561.31,0
1733,France,Male,121973.28,6.599870499,3.891820298,0,148804.36,0
1734,Germany,Male,99462.8,6.419994928,3.465735903,0.693147181,51117.06,0
1735,Germany,Female,165878.76,6.510258341,3.218875825,0.693147181,164537.17,0
1736,France,Male,117494.27,6.464588304,3.401197382,0,61977.82,0
1737,Germany,Female,138577.34,6.450470422,3.36729583,0,193362.99,0
1738,Spain,Male,0,6.64509097,3.663561646,0,47722.79,0
1739,Spain,Male,107525.07,6.679599186,3.713572067,0,18510.41,0
1740,France,Male,139224.92,6.572282543,3.218875825,0.693147181,65057.71,0
1741,France,Female,121453.63,6.543911846,3.737669618,0,46374.64,0
1742,France,Female,0,6.616065185,3.218875825,0.693147181,42039.67,0
1743,Germany,Female,77354.37,6.369900983,3.988984047,0,138192.98,1
1744,France,Male,0,6.192362489,3.688879454,0,22735.45,0
1745,France,Female,79259.99,6.69950034,3.663561646,0,186910.74,0
1746,France,Male,116295.29,6.270988432,3.401197382,0,75285.47,0
1747,Spain,Female,0,6.369900983,4.077537444,0,130260.11,1
1748,Germany,Male,74309.81,6.37331979,3.526360525,0,15034.93,0
1749,Germany,Male,152797.9,6.513230111,3.526360525,0,175709.4,1
1750,France,Male,133701.07,6.313548046,3.737669618,0.693147181,101069.71,1
1751,Germany,Female,114430.18,6.398594935,3.496507561,0.693147181,153012.13,0
1752,France,Male,127504.57,6.293419279,3.36729583,0,86173.92,0
1753,Germany,Female,84113.41,6.612041035,3.713572067,0,197548.63,0
1754,Spain,Female,101126.66,6.388561406,3.218875825,0.693147181,37042.8,0
1755,Germany,Male,103564.83,6.584791392,3.496507561,0.693147181,121085.72,0
1756,Spain,Female,0,6.278521424,3.951243719,0,194113.99,1
1757,France,Male,168178.21,6.426488457,3.610917913,0.693147181,101273.23,0
1758,Germany,Female,143903.11,6.259581464,3.663561646,0,118711.75,1
1759,Germany,Female,129753.69,6.464588304,3.401197382,0,582.53,0
1760,France,Male,0,6.369900983,3.555348061,0.693147181,192381.21,0
1761,France,Male,110641.18,6.255750042,3.63758616,0,136507.69,1
1762,France,Female,166909.2,6.495265556,3.583518938,0.693147181,138871.12,1
1763,France,Female,154139.45,6.630683386,3.526360525,0,60728.89,0
1764,France,Male,97459.06,6.575075841,3.63758616,0,189175.71,0
1765,France,Male,0,6.415096959,3.688879454,0.693147181,102547.56,0
1766,Germany,Male,112088.04,6.64118217,3.761200116,0.693147181,36706.56,0
1767,France,Female,0,6.455198563,3.526360525,0.693147181,44756.25,0
1768,France,Female,0,6.69950034,3.871201011,0.693147181,132870.15,0
1769,Spain,Male,141038.57,6.633318433,3.33220451,0.693147181,16287.38,0
1770,Germany,Male,84468.67,6.408528791,3.663561646,0.693147181,121945.42,0
1771,Spain,Female,118520.26,6.586171655,3.583518938,0,131173.9,1
1772,France,Male,142663.46,6.396929655,3.610917913,0,88669.89,0
1773,Germany,Male,118627.16,6.486160789,3.295836866,0.693147181,160835.3,0
1774,Spain,Male,137523.02,6.461468176,3.526360525,0,24761.36,0
1775,France,Male,110976.23,6.192362489,3.33220451,0.693147181,138526.96,0
1776,France,Female,107283.4,6.308098442,3.63758616,0,157442.75,0
1777,France,Male,0,6.432940093,3.63758616,0.693147181,105295.77,0
1778,France,Male,124314.45,6.572282543,3.526360525,0,97782.92,0
1779,France,Female,95858.37,6.487684018,3.713572067,0,68255.88,0
1780,France,Male,0,6.555356892,3.583518938,0.693147181,108790.95,0
1781,France,Male,0,6.687108608,3.496507561,0.693147181,143706.18,0
1782,Spain,Female,0,6.675823222,3.583518938,0,148993.47,0
1783,France,Female,117707.18,6.317164687,3.555348061,0.693147181,95277.15,1
1784,Spain,Male,135289.33,6.278521424,3.63758616,0.693147181,152956.33,0
1785,France,Male,174060.46,6.489204931,3.583518938,0,94925.62,0
1786,Germany,Male,114446.84,6.56948142,3.688879454,0.693147181,87308.18,0
1787,Spain,Male,0,6.56667243,3.610917913,0.693147181,83978.86,1
1788,France,Male,157848.53,6.50578406,3.218875825,0,37543.93,1
1789,France,Female,0,6.192362489,3.761200116,0,104889.3,0
1790,Spain,Female,0,6.637258031,3.610917913,0.693147181,149705.25,0
1791,Germany,Female,108071.36,6.546785411,4.094344562,0.693147181,16445.79,0
1792,Spain,Female,14262.8,6.553933404,3.555348061,0.693147181,54689.16,0
1793,Spain,Male,102749.72,6.530877628,3.713572067,0,194913.86,0
1794,Spain,Male,161757.87,6.444131257,3.583518938,0.693147181,146371.72,0
1795,France,Male,0,6.69950034,3.63758616,0.693147181,156603.7,0
1796,Germany,Female,95698.79,6.52649486,3.555348061,0,182566.76,0
1797,France,Male,124969.13,6.318968114,3.610917913,0,60194.05,0
1798,Germany,Male,93960.35,6.472346295,3.784189634,0,36579.53,1
1799,France,Female,88308.87,6.570882962,3.931825633,0.693147181,5862.53,1
1800,Spain,Female,0,6.69950034,3.663561646,0.693147181,143030.09,0
1801,France,Female,0,6.56948142,4.077537444,0.693147181,62700.08,0
1802,France,Male,112935.87,6.192362489,3.401197382,0,99017.34,0
1803,Spain,Female,98567.1,6.52649486,3.218875825,0,187987.01,0
1804,France,Female,180530.51,6.357842267,3.258096538,0,123454.62,0
1805,France,Male,140931.57,6.313548046,3.496507561,0,10921.5,0
1806,Germany,Female,148913.72,6.64509097,3.433987204,0.693147181,53817.23,0
1807,France,Male,0,6.538139824,3.63758616,0.693147181,81617.4,0
1808,France,Female,0,6.69950034,3.891820298,0,192298.84,1
1809,France,Male,0,6.605297921,3.713572067,0.693147181,143882.25,0
1810,France,Female,115335.32,6.459904454,3.912023005,0.693147181,53130.41,0
1811,France,Female,0,6.478509642,4.094344562,0.693147181,190454.04,0
1812,France,Female,0,6.658011046,3.258096538,0.693147181,111906,0
1813,Germany,Female,134678.13,6.69950034,3.496507561,0,113177.95,0
1814,France,Male,0,6.69950034,3.63758616,0.693147181,30529.88,0
1815,Germany,Male,90547.48,6.361302478,3.433987204,0.693147181,18800.13,0
1816,France,Male,103324.78,6.234410726,3.465735903,0,46127.7,0
1817,France,Male,114590.58,6.274762021,3.36729583,0,75585.48,0
1818,Germany,Female,91286.51,6.442540166,3.583518938,0,63085.94,0
1819,Spain,Male,163340.12,6.450470422,3.465735903,0.693147181,74415.2,0
1820,Spain,Male,150900.29,6.570882962,3.80666249,0.693147181,139889.15,0
1821,Spain,Male,124577.33,6.403574198,3.218875825,0,7267.25,0
1822,Spain,Male,0,6.445719819,3.555348061,0.693147181,186826.22,0
1823,Spain,Female,91292.7,6.69950034,3.433987204,0,162149.07,0
1824,Germany,Female,93716.72,6.66949809,4.043051268,0,180150.49,1
1825,France,Female,111723.08,6.682108597,3.610917913,0,83478.12,0
1826,Germany,Male,110765.68,6.646390515,3.80666249,0,26163.74,1
1827,Germany,Male,173459.45,6.343880434,3.218875825,0.693147181,44381.06,0
1828,Spain,Female,169649.73,6.192362489,3.218875825,0.693147181,136365,1
1829,Spain,Female,0,6.304448802,3.433987204,0.693147181,99294.22,0
1830,Germany,Male,116917.07,6.586171655,3.80666249,0,173464.43,1
1831,France,Male,0,6.226536669,3.610917913,0.693147181,127543.81,0
1832,France,Female,0,6.448889394,3.583518938,0.693147181,52526.65,0
1833,France,Male,0,6.429719478,3.218875825,0,32589.45,0
1834,Germany,Male,130627.66,6.49677499,3.465735903,0,47161.25,1
1835,Spain,Female,56580.95,6.551080335,3.828641396,0.693147181,45424.13,0
1836,Germany,Male,142316.14,6.54534966,3.63758616,0,8018.49,0
1837,Spain,Male,0,6.642486801,3.433987204,0.693147181,195668,0
1838,France,Male,152759,6.329720906,4.025351691,0.693147181,133167.11,1
1839,Germany,Male,109733.2,6.192362489,3.663561646,0.693147181,123602.11,1
1840,France,Male,117444.51,6.559615237,3.988984047,0,186238.85,0
1841,Spain,Female,76001.57,6.192362489,3.526360525,0,158668.87,0
1842,France,Female,107747.57,6.216606101,3.526360525,0,9249.36,0
1843,Spain,Female,0,6.613384218,3.555348061,0.693147181,116581.1,0
1844,France,Female,134997.49,6.37502482,3.583518938,0.693147181,44688.08,0
1845,France,Female,0,6.502790046,3.871201011,0.693147181,148608.39,0
1846,France,Male,0,6.602587892,3.583518938,0,188670.9,1
1847,Spain,Female,0,6.192362489,3.401197382,0,107067.37,0
1848,Spain,Female,64345.21,6.380122537,3.610917913,0,61759.33,1
1849,Germany,Female,141665.63,6.249975242,3.555348061,0,192776.64,0
1850,Spain,Female,0,6.364750757,3.36729583,0.693147181,46735.19,0
1851,Germany,Female,136624.6,6.665683718,3.496507561,0.693147181,169117.74,0
1852,France,Female,161209.66,6.683360946,3.951243719,0,89081.41,0
1853,Spain,Male,95010.92,6.548219103,3.63758616,0,105227.86,0
1854,France,Female,167545.32,6.593044534,3.713572067,0,128246.81,0
1855,Germany,Female,109044.6,6.606650186,3.583518938,0,94554.74,1
1856,France,Female,122031.55,6.665683718,3.850147602,0,33823.5,1
1857,Spain,Female,27755.97,6.267200549,3.36729583,0,97468.44,1
1858,France,Female,118560.55,6.298949247,3.36729583,0,164137.36,0
1859,France,Male,0,6.558197803,4.094344562,0.693147181,191313.7,0
1860,France,Male,0,6.527957918,3.526360525,0.693147181,65257.57,0
1861,Spain,Female,97840.72,6.459904454,3.33220451,0,178222.77,0
1862,Germany,Female,158651.29,6.336825731,3.63758616,0.693147181,179445.28,0
1863,France,Male,175303.06,6.192362489,3.784189634,0,65500.53,1
1864,Spain,Male,96950.21,6.59441346,3.218875825,0,97877.92,0
1865,France,Male,123859.6,6.408528791,3.80666249,0,113051.57,0
1866,France,Female,0,6.633318433,3.465735903,0.693147181,105969.05,0
1867,France,Female,0,6.326149473,4.094344562,0,122996.76,0
1868,France,Female,85227.84,6.572282543,3.496507561,0,68087.15,0
1869,France,Male,97786.08,6.486160789,3.583518938,0.693147181,21478.36,0
1870,Germany,Male,128135.99,6.480044562,3.496507561,0,158437.73,0
1871,Spain,Male,0,6.436150368,3.496507561,0.693147181,76551.7,0
1872,Spain,Male,85996.19,6.452048954,3.583518938,0,15887.68,0
1873,Spain,Female,0,6.69950034,3.912023005,0.693147181,33741.84,0
1874,Germany,Female,104502.11,6.490723535,3.663561646,0,20652.69,0
1875,Spain,Male,95772.97,6.270988432,3.555348061,0,112781.5,0
1876,Spain,Male,98108.79,6.349138991,3.433987204,0,119996.95,0
1877,Germany,Male,131607.28,6.461468176,3.663561646,0.693147181,6981.43,1
1878,Spain,Male,63127.41,6.646390515,4.007333185,0.693147181,185211.28,1
1879,Spain,Male,0,6.473890696,3.555348061,0.693147181,78436.36,0
